time,station,event,user
2025-11-01T07:32:00,东 区宿舍,borrow,u001
2025-11-01T07:33:00,东 区宿舍,borrow,u002
2025-11-01T07:35:00,东区宿舍,borrow,u003
2025-11-01T07:41:00,东区教学楼,return,u004
2025-11-01T07:45:00,东区宿舍,borrow,u005
2025-11-01T07:52:00,东区教学楼,return,u006
2025-11-01T08:03:00,东区宿舍,borrow,u007
2025-11-01T08:10:00,东区教学楼,return,u008
2025-11-01T08:21:00,东区宿舍,borrow,u009
2025-11-01T08:30:00,东区教学楼,return,u010
2025-11-03T14:20:00,东区宿舍,borrow,u011
2025-11-01T17:40:00,东区教学楼,borrow,u012
2025-11-01T17:55:00,东区宿舍,return,u013
2025-11-01T18:02:00,东区教学楼,borrow,u014
2025-11-01T18:15:00,东区宿舍,return,u015
2025-11-02T07:31:00,东区宿舍,borrow,u016
2025-11-02T07:36:00,东区宿舍,borrow,u017
2025-11-02T07:44:00,东区教学楼,return,u018
2025-11-02T07:58:00,东区宿舍,borrow,u019
2025-11-02T08:12:00,东区教学楼,return,u020
2025-11-02T08:25:00,东区宿舍,borrow,u021
2025-11-02T17:38:00,东区教学楼,borrow,u022
2025-11-02T17:50:00,东区宿舍,return,u023
2025-11-02T18:05:00,东区教学楼,borrow,u024
2025-11-02T18:20:00,东区宿舍,return,u025
2025-11-03T08:02:00,东区宿舍,borrow,u026
2025-11-03T08:15:00,东区教学楼,return,u027
2025-11-03T17:45:00,东区教学楼,borrow,u028
2025-11-03T17:59:00,东区宿舍,return,u029
2025-11-03T18:11:00,东区教学楼,borrow,u030
